Date,PAKISTAN SMALL CAP
2016-09-08,3323.568459925007
2016-09-09,3372.102028364305
2016-09-12,3372.102028364305
2016-09-13,3372.102028364305
2016-09-14,3372.102028364305
2016-09-15,3370.0564444990273
2016-09-16,3397.7698500566817
2016-09-19,3414.7602489635874
2016-09-20,3390.821702494291
2016-09-21,3318.848690929059
2016-09-22,3364.0482174415897
2016-09-23,3346.727238130344
2016-09-26,3393.1146652715756
2016-09-27,3402.5956935742174
2016-09-28,3413.202020246717
2016-09-29,3375.147515728759
2016-09-30,3411.3645848481574
2016-10-03,3445.6518938159306
2016-10-04,3460.273163838343
2016-10-05,3464.7133648931713
2016-10-06,3437.3869470907703
2016-10-07,3423.966285432017
2016-10-10,3472.217452922275
2016-10-11,3472.217452922275
2016-10-12,3472.217452922275
2016-10-13,3459.7886924743398
2016-10-14,3454.9324552230605
2016-10-17,3460.705737587282
2016-10-18,3432.4729862702907
2016-10-19,3448.860853237734
2016-10-20,3502.1358996907065
2016-10-21,3450.7688040272337
2016-10-24,3381.2519125842696
2016-10-25,3353.4300033114955
2016-10-26,3335.0216022832074
2016-10-27,3284.1175524260198
2016-10-28,3280.663012093856
2016-10-31,3292.0472121704356
2016-11-01,3437.4287129531735
2016-11-02,3520.1063017568868
2016-11-03,3537.8778894462853
2016-11-04,3556.6383676784
2016-11-07,3584.581275383846
2016-11-08,3611.3453072391144
2016-11-09,3632.474665557418
2016-11-10,3671.1661773798805
2016-11-11,3674.883992965933
2016-11-14,3675.635603955202
2016-11-15,3644.542133590266
2016-11-16,3641.974437173422
2016-11-17,3636.1903785696018
2016-11-18,3622.2405437788
2016-11-21,3628.188371133165
2016-11-22,3645.397383475093
2016-11-23,3688.2483818453907
2016-11-24,3698.3062631043754
2016-11-25,3702.1186461911675
2016-11-28,3707.2737468495657
2016-11-29,3686.816271863028
2016-11-30,3661.0326271535478
2016-12-01,3689.2447167780506
2016-12-02,3743.0877322050646
2016-12-05,3762.4454393047804
2016-12-06,3781.8518491146046
2016-12-07,3813.2358641502497
2016-12-08,3807.6631490749755
2016-12-09,3841.105595372809
2016-12-12,3841.1055953728087
2016-12-13,3881.6438271830134
2016-12-14,3877.9547027506055
