Date,EAFE ex JAPAN VALUE WEIGHTED
1999-10-06,2274.0529123288193
1999-10-07,2292.782218969355
1999-10-08,2273.0826862231297
1999-10-11,2273.519087879313
1999-10-12,2264.066392366751
1999-10-13,2247.3119295564848
1999-10-14,2238.763803118226
1999-10-15,2216.5738155590193
1999-10-18,2190.7819422953266
1999-10-19,2220.473665351104
1999-10-20,2225.46172971744
1999-10-21,2219.9935647793623
1999-10-22,2239.174049216508
1999-10-25,2228.051188839286
1999-10-26,2230.262920071752
1999-10-27,2209.7597567054568
1999-10-28,2240.9105399614327
1999-10-29,2274.663548613478
1999-11-01,2274.3652284970954
1999-11-02,2276.498388158405
1999-11-03,2283.9856689946996
1999-11-04,2295.926011625997
1999-11-05,2285.240630930125
1999-11-08,2275.2736106955035
1999-11-09,2287.90181416462
1999-11-10,2307.696791433115
1999-11-11,2327.0921346758837
1999-11-12,2313.464045666187
1999-11-15,2330.3597599827076
1999-11-16,2346.1692622033975
1999-11-17,2359.8025914407076
1999-11-18,2358.8073406461826
1999-11-19,2355.5879892861476
1999-11-22,2339.985042514096
1999-11-23,2346.0700430703264
1999-11-24,2322.470340199016
1999-11-25,2351.2352965632563
1999-11-26,2343.0892807667515
1999-11-29,2333.9324370873005
1999-11-30,2308.721306797999
1999-12-01,2327.4776675750823
1999-12-02,2328.8929662178502
1999-12-03,2357.115118283058
1999-12-06,2389.5712639436115
1999-12-07,2389.562713603107
1999-12-08,2383.0136077499674
1999-12-09,2381.1622812315363
1999-12-10,2378.881082213415
1999-12-13,2380.5849099394295
1999-12-14,2376.587384423589
1999-12-15,2362.665824052894
1999-12-16,2404.0786591507203
1999-12-17,2403.037153589215
1999-12-20,2405.5833922725074
1999-12-21,2400.5353539216417
1999-12-22,2417.821778701992
1999-12-23,2463.8959417071546
1999-12-24,2477.481793373115
1999-12-27,2474.067378368769
1999-12-28,2468.722941427178
1999-12-29,2473.0475377298635
1999-12-30,2493.979451942244
1999-12-31,2493.979451942244
2000-01-03,2508.872914673632
2000-01-04,2464.6160020793513
2000-01-05,2427.9043056027035
2000-01-06,2423.3784693674825
2000-01-07,2454.182709222566
2000-01-10,2473.7693218633744
2000-01-11,2463.227689088353
2000-01-12,2448.4021349385616
2000-01-13,2452.2564282147673
2000-01-14,2455.111362093555
2000-01-17,2447.3351457033054
2000-01-18,2413.160938366983
