Date,EM GCC COUNTRIES IMI VALUE
2018-04-27,937.6689835030855
2018-04-30,935.9946638630819
2018-05-01,935.8063729158802
2018-05-02,931.5396082042677
2018-05-03,914.1149895670371
2018-05-04,915.80062971376
2018-05-07,926.3484939724958
2018-05-08,918.3636864182895
2018-05-09,910.5270797444766
2018-05-10,901.2795637739115
2018-05-11,896.4124730284813
2018-05-14,908.4243240070832
2018-05-15,920.5056077390456
2018-05-16,926.7712573955669
2018-05-17,918.2292901468593
2018-05-18,919.9456065770403
2018-05-21,932.0513316052434
2018-05-22,941.7824789888696
2018-05-23,952.6100364987329
2018-05-24,957.2222774298494
2018-05-25,962.9305401851267
2018-05-28,966.2744396471346
2018-05-29,974.401318125502
2018-05-30,957.488750601815
2018-05-31,957.1289546538741
2018-06-01,957.9496088206012
2018-06-04,971.2881902902949
2018-06-05,984.6078233338742
2018-06-06,979.3532025141304
2018-06-07,971.9212198838492
2018-06-08,976.7948687001968
2018-06-11,974.3753310624693
2018-06-12,972.1530300232502
2018-06-13,962.1189358895679
2018-06-14,975.787358449248
2018-06-15,978.5592430002363
2018-06-18,966.0597080383315
2018-06-19,967.1446552489108
2018-06-20,942.7013215997649
2018-06-21,942.1135647502139
2018-06-22,939.6040682295697
2018-06-25,933.341090431307
2018-06-26,931.1619569390349
2018-06-27,934.4584535160558
2018-06-28,942.268792755338
2018-06-29,934.4000755874529
2018-07-02,946.9009725389137
2018-07-03,946.7269692561973
2018-07-04,950.7747875931723
2018-07-05,949.774727672417
2018-07-06,945.3833229382393
2018-07-09,947.6231559497774
2018-07-10,965.2666352528951
2018-07-11,966.0237359124974
2018-07-12,962.1772090356677
2018-07-13,963.5791385452977
2018-07-16,971.8668171278688
2018-07-17,972.6782877618208
2018-07-18,974.3484609532316
2018-07-19,975.9730868754042
2018-07-20,968.053595672913
2018-07-23,970.2636040726787
2018-07-24,981.3370907324928
2018-07-25,986.2628578521606
2018-07-26,988.8691773381381
2018-07-27,989.4632201822805
2018-07-30,987.8653792285999
2018-07-31,1008.5075528750551
2018-08-01,1024.1816926681827
2018-08-02,1029.1762963705103
2018-08-03,1031.1357638569284
2018-08-06,1030.149222183308
2018-08-07,1023.9707007558133
2018-08-08,1027.7286940207932
2018-08-09,1022.0614166439802
2018-08-10,1034.4954067140516
2018-08-13,999.4745675183776
2018-08-14,1011.056047578771
2018-08-15,1018.3669455847784
2018-08-16,1005.195170547687
2018-08-17,1003.6533250323407
2018-08-20,1000.7366636255024
2018-08-21,993.2217993661392
2018-08-22,986.413924809118
2018-08-23,988.4165794296811
2018-08-24,983.953722373559
2018-08-27,1008.4243891057909
2018-08-28,1009.6286028029863
2018-08-29,1012.131322345433
2018-08-30,1023.1346375353813
2018-08-31,1025.2349771417023
2018-09-03,1016.3066287552718
2018-09-04,1027.3666705376418
2018-09-05,1019.7881335087204
2018-09-06,1018.3290445678082
2018-09-07,1022.5488221945404
2018-09-10,1029.1050302199392
2018-09-11,1031.291413383551
2018-09-12,1024.1399373593608
2018-09-13,1021.927359541188
2018-09-14,1022.6571428877747
2018-09-17,999.1684195083194
2018-09-18,1000.1044432894462
2018-09-19,1001.9407618457913
2018-09-20,994.9623550721143
2018-09-21,994.1952668727873
2018-09-24,990.0852663743921
2018-09-25,991.5107421205307
2018-09-26,994.5570202036117
2018-09-27,1009.8922157874966
2018-09-28,1015.2829447912696
2018-10-01,1019.9652740116461
2018-10-02,1023.090799735076
2018-10-03,1028.3814129566138
2018-10-04,1029.7464798793792
2018-10-05,1030.6284118519063
2018-10-08,1024.1118807556413
2018-10-09,1024.7352522407405
2018-10-10,1029.3701662339838
2018-10-11,1017.1256714677035
2018-10-12,1016.9937086162395
2018-10-15,1002.1231924814882
2018-10-16,1013.6106930972516
2018-10-17,1029.2860312367693
2018-10-18,1039.4125541989954
2018-10-19,1038.864204097647
2018-10-22,1043.138905709757
2018-10-23,1048.8675224864971
2018-10-24,1049.8171540593173
2018-10-25,1049.305454139396
2018-10-26,1050.1360024079204
2018-10-29,1050.9183218896308
2018-10-30,1046.2558677351403
2018-10-31,1075.2610192088703
2018-11-01,1067.6741006009668
2018-11-02,1069.4100034757848
2018-11-05,1085.3929819883251
2018-11-06,1071.9597860107947
2018-11-07,1055.6071436412249
2018-11-08,1073.8901862957382
2018-11-09,1080.7950159605634
2018-11-12,1084.31318556316
2018-11-13,1075.1998182909376
2018-11-14,1069.4790240102598
2018-11-15,1081.0247765768913
2018-11-16,1073.8619023277747
2018-11-19,1081.6319702242774
2018-11-20,1062.7189803534627
2018-11-21,1071.186307150833
2018-11-22,1073.5623785487044
2018-11-23,1079.480165913328
2018-11-26,1078.311727525
2018-11-27,1082.7210717935493
2018-11-28,1075.459569970446
2018-11-29,1060.5223557005784
2018-11-30,1066.5056562937573
2018-12-03,1068.7789466596332
2018-12-04,1078.7886988312239
2018-12-05,1066.5951999653728
2018-12-06,1062.3358045470302
2018-12-07,1061.5322847246036
2018-12-10,1048.509635696297
2018-12-11,1053.549976104959
2018-12-12,1054.5836863821758
2018-12-13,1062.9508796243185
2018-12-14,1067.6552428888651
2018-12-17,1063.0389822161658
2018-12-18,1054.535634858245
2018-12-19,1051.5033127061388
2018-12-20,1040.175988451211
2018-12-21,1040.4250070925493
2018-12-24,1036.8851777156165
2018-12-25,1023.4842653183489
2018-12-26,1025.661304835212
2018-12-27,1033.073070097524
2018-12-28,1030.1374530139703
2018-12-31,1037.9157199686185
2019-01-01,1037.9157199686185
2019-01-02,1039.0146785809598
2019-01-03,1041.489569172662
2019-01-04,1039.8473557069747
2019-01-07,1043.1039966544286
2019-01-08,1038.671832893148
2019-01-09,1036.2675888431615
2019-01-10,1041.3331092280198
2019-01-11,1045.37038600765
2019-01-14,1045.1810245592476
2019-01-15,1048.4063131906125
2019-01-16,1050.5510708226457
2019-01-17,1053.2958323703524
2019-01-18,1054.5004992265365
2019-01-21,1049.9685264573068
2019-01-22,1050.206659463533
2019-01-23,1050.939768097891
2019-01-24,1055.0460746532124
2019-01-25,1050.90748082265
2019-01-28,1055.97038594968
2019-01-29,1057.0126669195365
2019-01-30,1052.6165439886709
2019-01-31,1052.4006729135035
2019-02-01,1053.0265804830624
2019-02-04,1048.8299405945347
2019-02-05,1049.7189872477697
2019-02-06,1048.6210322368208
2019-02-07,1034.5150468136007
2019-02-08,1037.0668320260725
2019-02-11,1023.5668066117033
2019-02-12,1018.3540896123573
2019-02-13,1013.2352097832642
2019-02-14,1013.9497280676085
2019-02-15,1014.9423219179023
2019-02-18,1017.8408809344949
2019-02-19,1011.9830695643908
2019-02-20,1025.378956354127
2019-02-21,1036.2952755364947
2019-02-22,1036.9626650199127
2019-02-25,1041.1618870290788
2019-02-26,1059.3804508251046
2019-02-27,1056.6199739924352
2019-02-28,1051.1197407617121
2019-03-01,1051.0187746972388
2019-03-04,1056.0881352128736
2019-03-05,1045.0365043052036
2019-03-06,1041.567101894573
2019-03-07,1036.9460256978095
2019-03-08,1036.7118146198484
2019-03-11,1034.5789672374158
2019-03-12,1030.8463708534123
2019-03-13,1026.1846071819862
2019-03-14,1044.0464553195768
2019-03-15,1042.064555373491
2019-03-18,1048.971206178697
2019-03-19,1046.0577242564561
2019-03-20,1049.3547133794684
2019-03-21,1048.997983207883
2019-03-22,1056.203278226815
2019-03-25,1054.3918766043219
2019-03-26,1050.1240910322733
2019-03-27,1061.96120596133
2019-03-28,1069.7652190788845
2019-03-29,1070.390285467554
2019-04-01,1072.4061850889193
2019-04-02,1079.5269659574826
2019-04-03,1068.5033627959363
2019-04-04,1071.5960044578187
2019-04-05,1070.9753705783764
2019-04-08,1077.473805160555
2019-04-09,1075.5627404797199
2019-04-10,1078.3251548424464
2019-04-11,1074.3227801392254
2019-04-12,1070.441363667779
2019-04-15,1073.6094498459036
2019-04-16,1074.2227037256218
2019-04-17,1080.194334597815
2019-04-18,1091.332042082317
