Date,MALAYSIA IMI VALUE WEIGHTED
2015-10-15,7553.837218257733
2015-10-16,7467.547650167515
2015-10-19,7476.33036691823
2015-10-20,7300.60009190781
2015-10-21,7283.3377863292335
2015-10-22,7396.2980687916715
2015-10-23,7625.757497731793
2015-10-26,7599.274109065949
2015-10-27,7485.5399092406515
2015-10-28,7423.381242346989
2015-10-29,7372.034025905422
2015-10-30,7314.31019477382
2015-11-02,7311.102707295113
2015-11-03,7453.676606393748
2015-11-04,7590.264915986163
2015-11-05,7558.702803128042
2015-11-06,7606.321268055403
2015-11-09,7497.623609188858
2015-11-10,7533.732237409106
2015-11-11,7425.55560273776
2015-11-12,7397.028863208884
2015-11-13,7373.358932637822
2015-11-16,7349.103654920014
2015-11-17,7416.851262470768
2015-11-18,7386.727497268715
2015-11-19,7408.1608328930515
2015-11-20,7580.127971503768
2015-11-23,7620.5795220981545
2015-11-24,7715.692701665503
2015-11-25,7839.737421645554
2015-11-26,7811.978493773567
2015-11-27,7757.72098784103
2015-11-30,7732.705741175531
2015-12-01,7806.480606705425
2015-12-02,7812.309485012865
2015-12-03,7596.090250704855
2015-12-04,7554.430674299334
2015-12-07,7627.02276116236
2015-12-08,7516.649981385437
2015-12-09,7403.492273329925
2015-12-10,7390.87082955851
2015-12-11,7243.584167570864
2015-12-14,7123.595301573985
2015-12-15,7211.989423245858
2015-12-16,7236.87250888321
2015-12-17,7419.394600788641
2015-12-18,7383.704679544733
2015-12-21,7255.061783687597
