Date,WORLD ex EMU HIGH DIVIDEND YIELD
2009-05-12,1044.7124222326486
2009-05-13,1021.5686875627623
2009-05-14,1026.052561599886
2009-05-15,1022.7895064854704
2009-05-18,1053.288107954847
2009-05-19,1055.597199770874
2009-05-20,1044.7151908675805
2009-05-21,1029.3134597498922
2009-05-22,1016.3437218782907
2009-05-25,1015.3553312548169
2009-05-26,1035.6380905308577
2009-05-27,1031.0377612204288
2009-05-28,1035.1070769597245
2009-05-29,1038.703262359798
2009-06-01,1063.2996030909478
2009-06-02,1060.649896177968
2009-06-03,1050.358629141278
2009-06-04,1048.3613313122205
2009-06-05,1054.253894173748
2009-06-08,1058.6053101407172
2009-06-09,1055.6013865558175
2009-06-10,1063.4309277465939
2009-06-11,1071.9576033623534
2009-06-12,1077.038199076793
2009-06-15,1061.5870098711832
2009-06-16,1054.278286022698
2009-06-17,1045.7805457257894
2009-06-18,1047.9724278775122
2009-06-19,1058.5635657351793
2009-06-22,1040.3930750178242
2009-06-23,1026.7431984488337
2009-06-24,1038.902997651314
2009-06-25,1048.8617498660012
2009-06-26,1046.0309218596883
2009-06-29,1055.8295035290912
2009-06-30,1049.0140242194168
2009-07-01,1052.4404017460108
2009-07-02,1033.1592113537008
2009-07-03,1033.8558361373712
2009-07-06,1035.0630682189844
2009-07-07,1019.2817939673514
2009-07-08,1016.8674747603279
2009-07-09,1015.5026052585781
2009-07-10,1011.896075499864
2009-07-13,1024.2330687575238
2009-07-14,1038.63732088023
2009-07-15,1057.5212969349955
2009-07-16,1062.9868485714974
2009-07-17,1062.8564744640184
2009-07-20,1071.6487545327611
2009-07-21,1078.4554603073157
2009-07-22,1081.514295107688
2009-07-23,1100.163171153997
2009-07-24,1109.558822537094
2009-07-27,1115.3394579494131
2009-07-28,1113.7748476260679
2009-07-29,1118.8220764655441
2009-07-30,1139.9788719067842
2009-07-31,1136.6091249815452
2009-08-03,1139.294240172849
2009-08-04,1140.390866281413
2009-08-05,1134.611505452853
2009-08-06,1134.8217523919757
2009-08-07,1153.2970946381126
2009-08-10,1151.9784013321985
2009-08-11,1144.0883144435927
2009-08-12,1146.0980148195754
2009-08-13,1149.356737134576
2009-08-14,1147.7024151635721
2009-08-17,1132.3591810824437
2009-08-18,1143.2776222146194
2009-08-19,1139.7189866136987
2009-08-20,1147.5615444936973
2009-08-21,1160.969640087194
2009-08-24,1166.0703119824238
2009-08-25,1169.1656191452794
2009-08-26,1169.695403838302
2009-08-27,1168.7652721065367
2009-08-28,1165.6300896862115
2009-08-31,1162.3851333311163
2009-09-01,1148.6244213688285
2009-09-02,1147.1162995589136
2009-09-03,1147.0866277121297
2009-09-04,1161.6798599777956
2009-09-07,1163.991775421144
2009-09-08,1165.3390103771876
2009-09-09,1165.833213186327
2009-09-10,1171.5845731028612
2009-09-11,1172.1641140777015
2009-09-14,1171.2734977135924
2009-09-15,1175.1766866211747
2009-09-16,1188.4423994528713
2009-09-17,1190.7814897717035
2009-09-18,1189.4432145667276
2009-09-21,1185.8491547814967
2009-09-22,1187.295850658134
2009-09-23,1189.2078273367852
2009-09-24,1174.779105885421
2009-09-25,1172.315486830796
2009-09-28,1188.8419234977773
2009-09-29,1196.9531743205666
2009-09-30,1191.409801538136
2009-10-01,1176.1422365147896
2009-10-02,1155.5570700317069
2009-10-05,1164.424421690539
2009-10-06,1173.458396354841
2009-10-07,1175.53997938915
2009-10-08,1185.3017962307977
2009-10-09,1185.6315461505067
2009-10-12,1186.996350148535
2009-10-13,1181.825385487322
2009-10-14,1195.1008814363602
2009-10-15,1202.14560674517
2009-10-16,1200.6647044100732
2009-10-19,1211.0282487688326
2009-10-20,1207.7479020232174
2009-10-21,1204.4922207789252
2009-10-22,1201.2365903664195
2009-10-23,1191.774272840166
2009-10-26,1186.410956864391
2009-10-27,1195.729383990569
2009-10-28,1183.9202220303125
2009-10-29,1194.3388629301714
2009-10-30,1180.7941400448967
2009-11-02,1177.2867617936681
2009-11-03,1178.9256706261604
2009-11-04,1181.12269260396
2009-11-05,1188.3624902700485
2009-11-06,1195.388886754564
2009-11-09,1212.0609474231492
2009-11-10,1219.421336032481
2009-11-11,1218.1013112735882
2009-11-12,1221.6567496349505
2009-11-13,1227.064942524186
2009-11-16,1238.4951456326703
2009-11-17,1242.7778291468776
2009-11-18,1235.4103364877549
2009-11-19,1224.9078405070754
