Date,BELGIUM IMI GROWTH
2021-09-14,1892.0592629704392
2021-09-15,1850.1986338895601
2021-09-16,1857.288095800001
2021-09-17,1850.9748232487887
2021-09-20,1825.4699025569237
2021-09-21,1843.9534807681246
2021-09-22,1845.0895655006586
2021-09-23,1861.9075934801374
2021-09-24,1835.3651333737996
2021-09-27,1838.4733865497215
2021-09-28,1808.903934118363
2021-09-29,1802.755610446193
2021-09-30,1816.8478313477135
2021-10-01,1813.405863304682
2021-10-04,1788.0751849335738
2021-10-05,1788.1429720096232
2021-10-06,1769.9404833004303
2021-10-07,1813.009971313166
2021-10-08,1809.6185933250863
2021-10-11,1823.3193512595492
2021-10-12,1825.0231883660692
2021-10-13,1848.0655891957674
2021-10-14,1865.5182897887921
2021-10-15,1868.2824762141317
2021-10-18,1846.0413730927548
2021-10-19,1857.847060592248
2021-10-20,1857.6478489186156
2021-10-21,1840.6011157113305
2021-10-22,1848.6593803071873
2021-10-25,1845.1090732489345
2021-10-26,1845.7557722214367
2021-10-27,1838.911800782927
2021-10-28,1859.2740959741948
2021-10-29,1863.434759718951
2021-11-01,1870.7123281272727
2021-11-02,1887.7080279059926
2021-11-03,1907.2510676408112
2021-11-04,1935.7138198523344
2021-11-05,1913.220343154926
2021-11-08,1915.2603428987543
2021-11-09,1919.833167455774
2021-11-10,1902.6215347202865
2021-11-11,1879.8486216791978
2021-11-12,1872.1780148909288
2021-11-15,1880.0146261393184
2021-11-16,1867.3770163374625
2021-11-17,1848.3097069921132
2021-11-18,1838.5731581691273
2021-11-19,1834.5568807250706
2021-11-22,1818.7773718536437
2021-11-23,1787.5907376870825
2021-11-24,1807.3555970382197
2021-11-25,1821.8155640328841
2021-11-26,1797.8495652020163
2021-11-29,1814.2843590297457
2021-11-30,1808.7786544571027
2021-12-01,1819.4977070458667
2021-12-02,1816.0437419734587
2021-12-03,1804.3035047218118
2021-12-06,1823.0243686701824
2021-12-07,1865.2355718818317
2021-12-08,1828.8509334542891
2021-12-09,1825.1462001956222
2021-12-10,1814.1136963268718
2021-12-13,1804.8510152404638
2021-12-14,1777.4489597695297
2021-12-15,1802.7922734799067
2021-12-16,1808.9327327896845
2021-12-17,1811.2516202815368
2021-12-20,1811.9628816003076
2021-12-21,1827.4584159897615
2021-12-22,1830.2775638817036
2021-12-23,1837.8524268672634
2021-12-24,1836.4317776942346
2021-12-27,1849.5051894859473
2021-12-28,1856.4481089414082
2021-12-29,1857.9731160695237
2021-12-30,1864.7015884381735
2021-12-31,1867.6656447726664
2022-01-03,1853.3189887229053
2022-01-04,1848.5868216618553
2022-01-05,1834.6601412690507
2022-01-06,1806.7905529101022
2022-01-07,1794.615851593114
2022-01-10,1749.8356291772586
2022-01-11,1759.125354364335
2022-01-12,1752.3379313484038
2022-01-13,1725.9211888156894
2022-01-14,1716.7292520581127
2022-01-17,1721.9526709684592
2022-01-18,1701.287557753795
2022-01-19,1717.581982361234
2022-01-20,1731.3469773161085
2022-01-21,1702.0463959076146
2022-01-24,1624.33011497843
2022-01-25,1632.2395228847197
2022-01-26,1657.6248892506585
2022-01-27,1678.600265677837
2022-01-28,1666.7935609959025
