Date,EM FAR EAST IMI GROWTH
2014-07-08,1256.3761958231203
2014-07-09,1244.589359848199
2014-07-10,1252.6113337095098
2014-07-11,1244.0976890035831
2014-07-14,1246.0740122044397
2014-07-15,1255.1582037167832
2014-07-16,1254.4327660124036
2014-07-17,1253.0227595741562
2014-07-18,1251.496445688644
2014-07-21,1251.699174278877
2014-07-22,1266.8311001769234
2014-07-23,1270.5271165879512
2014-07-24,1270.8142356777978
2014-07-25,1273.33897214302
2014-07-28,1274.38940223958
2014-07-29,1280.2176870114358
2014-07-30,1286.6886580402904
2014-07-31,1272.4412721810577
2014-08-01,1256.6996651011307
2014-08-04,1271.376952992452
2014-08-05,1273.110539527731
2014-08-06,1269.2728677553846
2014-08-07,1259.637015094446
2014-08-08,1247.184350329663
2014-08-11,1264.3063270756097
2014-08-12,1270.0725749928251
2014-08-13,1278.8788325588093
2014-08-14,1277.812339398459
2014-08-15,1278.6416670191127
2014-08-18,1278.1390928602
2014-08-19,1291.6128416337992
2014-08-20,1296.2238013430185
2014-08-21,1286.6558785318675
2014-08-22,1301.729294600205
2014-08-25,1301.8804973509873
2014-08-26,1301.0980409171473
2014-08-27,1304.4966111453425
2014-08-28,1302.7324537688144
2014-08-29,1300.8090724251997
2014-09-01,1310.8681366811434
2014-09-02,1302.3096194057605
2014-09-03,1310.2064199221022
2014-09-04,1330.9704885462374
2014-09-05,1326.8450581033992
2014-09-08,1329.3303704126722
2014-09-09,1331.5006410620288
2014-09-10,1317.5777132301153
2014-09-11,1305.2819175017155
2014-09-12,1302.1272770679652
2014-09-15,1293.9330631271748
2014-09-16,1286.3691560377727
2014-09-17,1299.4440407740344
2014-09-18,1297.8110730305214
2014-09-19,1310.1715652563714
2014-09-22,1297.677299693272
2014-09-23,1285.0268882340306
2014-09-24,1294.2749363857654
2014-09-25,1295.8721954697144
2014-09-26,1298.7261260346565
2014-09-29,1286.8621219373183
2014-09-30,1286.3833713912197
2014-10-01,1283.9134527504477
2014-10-02,1273.373658405485
2014-10-03,1293.8002434111959
2014-10-06,1290.222435678668
2014-10-07,1286.5525368411832
2014-10-08,1265.3062059163283
2014-10-09,1269.4539750081713
2014-10-10,1261.1786326879514
2014-10-13,1237.277983528239
2014-10-14,1242.7596143660176
2014-10-15,1233.9340215501643
2014-10-16,1225.7034133770078
2014-10-17,1224.7002728082418
2014-10-20,1240.32283168456
2014-10-21,1245.49370873748
2014-10-22,1270.3627135460708
2014-10-23,1266.5130287554882
2014-10-24,1260.0766142207117
2014-10-27,1250.7645174402517
2014-10-28,1258.7639341777904
2014-10-29,1276.3005326273662
2014-10-30,1285.9631886298614
2014-10-31,1308.8263232746283
2014-11-03,1309.4723674191662
2014-11-04,1294.5873598598407
2014-11-05,1294.2976317191742
2014-11-06,1293.4319174921711
2014-11-07,1288.5723399247056
2014-11-10,1302.3938715597615
2014-11-11,1301.5114941321563
2014-11-12,1292.626765158816
2014-11-13,1295.2632604041257
2014-11-14,1294.58532281622
2014-11-17,1286.5830419790739
2014-11-18,1276.1880246714531
2014-11-19,1276.9748486876938
2014-11-20,1276.204191071567
2014-11-21,1293.1686613857742
2014-11-24,1306.8724735046685
2014-11-25,1302.2825786574583
2014-11-26,1306.6942358210035
2014-11-27,1317.6229520712961
2014-11-28,1316.627717694123
2014-12-01,1294.9705900014994
2014-12-02,1307.0043325437614
2014-12-03,1312.3764644319742
2014-12-04,1307.8963475378018
2014-12-05,1322.8538529188843
2014-12-08,1316.9063890272478
2014-12-09,1293.2552530281473
2014-12-10,1292.2110458838526
2014-12-11,1282.656228118046
2014-12-12,1274.6173078638637
2014-12-15,1271.11451113039
2014-12-16,1252.953006674216
2014-12-17,1251.9673488706603
2014-12-18,1273.1185850426755
2014-12-19,1294.332344915729
2014-12-22,1304.3514642175007
2014-12-23,1306.3732970841438
2014-12-24,1307.045535602825
2014-12-25,1305.0249944701038
2014-12-26,1312.190864489949
2014-12-29,1324.6489171699511
2014-12-30,1323.009101654836
2014-12-31,1336.871219864743
2015-01-01,1336.8712198647424
2015-01-02,1352.360495950175
2015-01-05,1353.2162299880563
2015-01-06,1341.534441006735
2015-01-07,1361.6521324896291
2015-01-08,1382.03351218332
2015-01-09,1383.3699830772573
2015-01-12,1384.26751788514
2015-01-13,1391.5266696768222
2015-01-14,1387.9123394556866
2015-01-15,1420.6298067624814
2015-01-16,1424.638358763314
2015-01-19,1401.7032243497774
2015-01-20,1415.5813716369837
2015-01-21,1437.6490112235879
2015-01-22,1459.8620711876192
2015-01-23,1504.003895804358
2015-01-26,1507.3633698240037
2015-01-27,1491.9437032653034
2015-01-28,1497.3692539184535
2015-01-29,1476.3897606901369
2015-01-30,1475.4677057885265
2015-02-02,1462.0000372371148
2015-02-03,1461.7869918040928
2015-02-04,1476.9719428452042
2015-02-05,1469.924203585874
2015-02-06,1480.6218813821467
2015-02-09,1473.7148927359094
2015-02-10,1471.1571863416805
2015-02-11,1475.3085325365728
2015-02-12,1462.2441101333447
2015-02-13,1476.2783055802122
2015-02-16,1474.6709861658903
2015-02-17,1473.8830939030672
2015-02-18,1479.5129922697174
2015-02-19,1475.6859596690385
2015-02-20,1478.8790453603908
2015-02-23,1481.465816147627
2015-02-24,1490.011642083481
2015-02-25,1500.1073336619618
2015-02-26,1520.5353672522708
2015-02-27,1517.3509919703506
2015-03-02,1524.8643548838547
2015-03-03,1522.4620304589382
2015-03-04,1535.3445253901573
2015-03-05,1533.3945376587374
2015-03-06,1567.8828225981767
2015-03-09,1548.8901409975804
2015-03-10,1550.3492511411052
2015-03-11,1566.0952574401579
2015-03-12,1564.1218737868408
2015-03-13,1581.205968362549
2015-03-16,1573.3927202547184
2015-03-17,1583.397007031914
2015-03-18,1589.979847371632
2015-03-19,1612.698100708555
2015-03-20,1586.2703736287356
2015-03-23,1577.3366531811193
2015-03-24,1583.7800724740416
2015-03-25,1574.4787351717391
2015-03-26,1562.7088139082134
2015-03-27,1564.9470110377617
2015-03-30,1590.3959854663387
2015-03-31,1615.8088557200817
2015-04-01,1620.285551630762
2015-04-02,1617.9005858167316
2015-04-03,1620.5020090217517
2015-04-06,1607.8889351212702
2015-04-07,1635.819551017226
2015-04-08,1680.0933274319214
2015-04-09,1716.3751797576351
2015-04-10,1742.3712263850737
2015-04-13,1767.5262630647637
2015-04-14,1723.5897960669874
2015-04-15,1730.2767915580098
2015-04-16,1749.460189453596
2015-04-17,1732.872353182322
2015-04-20,1712.5293811693537
2015-04-21,1728.9153677036331
2015-04-22,1751.4631845933202
2015-04-23,1742.6832811449854
2015-04-24,1739.600797181822
2015-04-27,1746.9170324451075
2015-04-28,1724.2672893660024
2015-04-29,1688.94455145446
2015-04-30,1667.397757318045
2015-05-01,1664.8966324333712
2015-05-04,1669.2426069853577
2015-05-05,1654.1351617048383
